incorrect,correct,error_type
There is much dogs here.,There are many dogs here.,Determiner: much vs many
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
It wants answer.,It wants a answer.,Article: missing article
You bought the solution.,You bought a solution.,Article: wrong article
That book is your's.,That book is yours.,Pronoun: possessive
It needs book.,It needs a book.,Article: missing article
Do you have some friends?,Do you have any friends?,Determiner: some vs any
He talks question.,He talks with question.,Preposition: missing preposition
There is few water left.,There is little water left.,Determiner: few vs little
We go sometimes.,We will go sometimes.,Tense: Future to Present
Do you have some teachers?,Do you have any teachers?,Determiner: some vs any
This friends are expensive.,These books are expensive.,Determiner: this vs these
It looks car.,It looks for car.,Preposition: missing preposition
They run always.,They will run always.,Tense: Future to Present
He entered into the room.,He entered the room.,Preposition: extra preposition
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
I like very much chocolate.,I like chocolate very much.,Misc: word order
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
These car is expensive.,This question is expensive.,Determiner: this vs these
I like very much chocolate.,I like chocolate very much.,Misc: word order
Somebody have their books.,Somebody has his or her book.,Pronoun: agreement
She is the homework.,She is homework.,Article: extra article
These city is expensive.,This idea is expensive.,Determiner: this vs these
I like very much chocolate.,I like chocolate very much.,Misc: word order
That book is your's.,That book is yours.,Pronoun: possessive
I was problem.,I was a problem.,Article: missing article
I like very much chocolate.,I like chocolate very much.,Misc: word order
You saw teacher.,You saw a teacher.,Article: missing article
It wants the city.,It wants a city.,Article: wrong article
It entered into the room.,It entered the room.,Preposition: extra preposition
It entered into the room.,It entered the room.,Preposition: extra preposition
I entered into the room.,I entered the room.,Preposition: extra preposition
I entered into the room.,I entered the room.,Preposition: extra preposition
These student is expensive.,This solution is expensive.,Determiner: this vs these
He depends at friend.,He depends on friend.,Preposition: wrong preposition
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
That book is your's.,That book is yours.,Pronoun: possessive
I like very much chocolate.,I like chocolate very much.,Misc: word order
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
They listen upon question.,They listen to question.,Preposition: wrong preposition
We wrote often.,We have wrote often.,Tense: Present Perfect to Simple Past
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
It waits book.,It waits for book.,Preposition: missing preposition
I don't have nothing.,I don't have anything.,Misc: double negative
There is much cats here.,There are many cats here.,Determiner: much vs many
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
He watchs every day.,He is watching every day.,Tense: Present Continuous to Simple
He wants the school.,He wants a school.,Article: wrong article
You run now.,You are runing now.,Tense: Present Continuous to Simple
I wait job.,I wait for job.,Preposition: missing preposition
I entered into the room.,I entered the room.,Preposition: extra preposition
They go dog.,They go to dog.,Preposition: missing preposition
You has the school.,You has a school.,Article: wrong article
He has solution.,He has a solution.,Article: missing article
They saw the teacher.,They saw a teacher.,Article: wrong article
He don't have some schools.,He don't have any schools.,Determiner: some vs any
It looks to student.,It looks for student.,Preposition: wrong preposition
Nobody are here.,Nobody is here.,Pronoun: agreement
She talks by school.,She talks to school.,Preposition: wrong preposition
You study sometimes.,You wrote sometimes.,Tense: Past to Present
He entered into the room.,He entered the room.,Preposition: extra preposition
I ate always.,I watch always.,Tense: Present to Past
I did it by me.,I did it by myself.,Pronoun: reflexive
It entered into the room.,It entered the room.,Preposition: extra preposition
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
They entered into the room.,They entered the room.,Preposition: extra preposition
They sleep always.,They studied always.,Tense: Past to Present
It needs friend.,It needs a friend.,Article: missing article
There is few milk left.,There is little milk left.,Determiner: few vs little
I have little cats.,I have few cats.,Determiner: few vs little
I don't have nothing.,I don't have anything.,Misc: double negative
It walks next month.,It will walk next month.,Tense: Future to Present
You walk sometimes.,You ate sometimes.,Tense: Past to Present
There is much friends here.,There are many friends here.,Determiner: much vs many
I have little friends.,I have few friends.,Determiner: few vs little
It wants an university.,It wants a university.,Article: a vs an
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
There is few patience left.,There is little patience left.,Determiner: few vs little
I did it by me.,I did it by myself.,Pronoun: reflexive
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
There is much friends here.,There are many friends here.,Determiner: much vs many
I like very much chocolate.,I like chocolate very much.,Misc: word order
They write sometimes.,They studied sometimes.,Tense: Past to Present
I did it by me.,I did it by myself.,Pronoun: reflexive
I don't have some cars.,I don't have any cars.,Determiner: some vs any
You listen student.,You listen to student.,Preposition: missing preposition
We entered into the room.,We entered the room.,Preposition: extra preposition
These car is expensive.,This city is expensive.,Determiner: this vs these
They don't have some houses.,They don't have any houses.,Determiner: some vs any
These house is expensive.,This car is expensive.,Determiner: this vs these
It was the important car.,It was a important car.,Article: wrong article
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
There is much friends here.,There are many friends here.,Determiner: much vs many
I like very much chocolate.,I like chocolate very much.,Misc: word order
We entered into the room.,We entered the room.,Preposition: extra preposition
You go among city.,You go into city.,Preposition: wrong preposition
She read often.,She gos often.,Tense: Present to Past
This is more better.,This is better.,Misc: comparative/superlative
There is much houses here.,There are many houses here.,Determiner: much vs many
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
Somebody have their books.,Somebody has his or her book.,Pronoun: agreement
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
I don't have some students.,I don't have any students.,Determiner: some vs any
I don't have nothing.,I don't have anything.,Misc: double negative
I don't have nothing.,I don't have anything.,Misc: double negative
Everyone have their books.,Everyone has his or her book.,Pronoun: agreement
It entered into the room.,It entered the room.,Preposition: extra preposition
Do you have some cats?,Do you have any cats?,Determiner: some vs any
She saw the important student.,She saw a important student.,Article: wrong article
Nobody are here.,Nobody is here.,Pronoun: agreement
He saw the house.,He saw a house.,Article: wrong article
I have little dogs.,I have few dogs.,Determiner: few vs little
Each student have their books.,Each student has his or her book.,Pronoun: agreement
You saw the information.,You saw information.,Article: extra article
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
They was the book.,They was a book.,Article: wrong article
She gos question.,She gos through question.,Preposition: missing preposition
Each student have their books.,Each student has his or her book.,Pronoun: agreement
I go always.,I am going always.,Tense: Present Continuous to Simple
They eat last week.,They wrote last week.,Tense: Past to Present
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
It wants the homework.,It wants homework.,Article: extra article
These book is expensive.,This book is expensive.,Determiner: this vs these
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
I like very much chocolate.,I like chocolate very much.,Misc: word order
I walked always.,I sleep always.,Tense: Present to Past
I don't have many money.,I don't have much money.,Determiner: much vs many
You has the homework.,You has homework.,Article: extra article
It ran last week.,It has ran last week.,Tense: Present Perfect to Simple Past
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
I study yesterday.,I will study yesterday.,Tense: Future to Present
She has the water.,She has water.,Article: extra article
We wait teacher.,We wait for teacher.,Preposition: missing preposition
There is much cats here.,There are many cats here.,Determiner: much vs many
This teachers are expensive.,These schools are expensive.,Determiner: this vs these
She wants the student.,She wants a student.,Article: wrong article
Each student are here.,Each student is here.,Pronoun: agreement
I did it by me.,I did it by myself.,Pronoun: reflexive
We studied last week.,We have studied last week.,Tense: Present Perfect to Simple Past
I like very much chocolate.,I like chocolate very much.,Misc: word order
It watched always.,It watchs always.,Tense: Present to Past
I don't have many information.,I don't have much information.,Determiner: much vs many
I like very much chocolate.,I like chocolate very much.,Misc: word order
This books are expensive.,These schools are expensive.,Determiner: this vs these
I entered into the room.,I entered the room.,Preposition: extra preposition
That book is your's.,That book is yours.,Pronoun: possessive
I walk sometimes.,I will walk sometimes.,Tense: Future to Present
That book is your's.,That book is yours.,Pronoun: possessive
She eats always.,She is eating always.,Tense: Present Continuous to Simple
We depend at dog.,We depend on dog.,Preposition: wrong preposition
This houses are expensive.,These houses are expensive.,Determiner: this vs these
I like very much chocolate.,I like chocolate very much.,Misc: word order
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
These dog is expensive.,This solution is expensive.,Determiner: this vs these
She is interested with city.,She is interested in city.,Preposition: wrong preposition
This teachers are expensive.,These houses are expensive.,Determiner: this vs these
Somebody have their books.,Somebody has his or her book.,Pronoun: agreement
That book is your's.,That book is yours.,Pronoun: possessive
It writes sometimes.,It is writeing sometimes.,Tense: Present Continuous to Simple
I look school.,I look into school.,Preposition: missing preposition
We watch tomorrow.,We are watching tomorrow.,Tense: Present Continuous to Simple
She was the student.,She was a student.,Article: wrong article
You listen teacher.,You listen to teacher.,Preposition: missing preposition
We ran yesterday.,We work yesterday.,Tense: Present to Past
You run tomorrow.,You are runing tomorrow.,Tense: Present Continuous to Simple
They entered into the room.,They entered the room.,Preposition: extra preposition
He went now.,He has went now.,Tense: Present Perfect to Simple Past
We run often.,We are runing often.,Tense: Present Continuous to Simple
She bought house.,She bought a house.,Article: missing article
I don't have nothing.,I don't have anything.,Misc: double negative
You played yesterday.,You watch yesterday.,Tense: Present to Past
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
You entered into the room.,You entered the room.,Preposition: extra preposition
They entered into the room.,They entered the room.,Preposition: extra preposition
We entered into the room.,We entered the room.,Preposition: extra preposition
He depends among car.,He depends on car.,Preposition: wrong preposition
He waits at teacher.,He waits for teacher.,Preposition: wrong preposition
That book is your's.,That book is yours.,Pronoun: possessive
I did it by me.,I did it by myself.,Pronoun: reflexive
Each student are here.,Each student is here.,Pronoun: agreement
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
I don't have nothing.,I don't have anything.,Misc: double negative
I don't have nothing.,I don't have anything.,Misc: double negative
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
That book is your's.,That book is yours.,Pronoun: possessive
We needs the mistake.,We needs a mistake.,Article: wrong article
You go car.,You go to car.,Preposition: missing preposition
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
They wait problem.,They wait for problem.,Preposition: missing preposition
Do you have some books?,Do you have any books?,Determiner: some vs any
Do you have some friends?,Do you have any friends?,Determiner: some vs any
I interested question.,I interested in question.,Preposition: missing preposition
It watchs yesterday.,It is watching yesterday.,Tense: Present Continuous to Simple
She wants old movie.,She wants a old movie.,Article: missing article
They study often.,They read often.,Tense: Past to Present
I have little houses.,I have few houses.,Determiner: few vs little
Do you have some cars?,Do you have any cars?,Determiner: some vs any
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
She is the advice.,She is advice.,Article: extra article
This is more better.,This is better.,Misc: comparative/superlative
These mistake is expensive.,This book is expensive.,Determiner: this vs these
I talked last week.,I have talked last week.,Tense: Present Perfect to Simple Past
She saw the house.,She saw a house.,Article: wrong article
These problem is expensive.,This solution is expensive.,Determiner: this vs these
It played every day.,It has played every day.,Tense: Present Perfect to Simple Past
I did it by me.,I did it by myself.,Pronoun: reflexive
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
They wait to teacher.,They wait for teacher.,Preposition: wrong preposition
It gos by cat.,It gos into cat.,Preposition: wrong preposition
Do you have some cities?,Do you have any cities?,Determiner: some vs any
Do you have some students?,Do you have any students?,Determiner: some vs any
They don't have some books.,They don't have any books.,Determiner: some vs any
They go dog.,They go to dog.,Preposition: missing preposition
There is much schools here.,There are many schools here.,Determiner: much vs many
This houses are expensive.,These friends are expensive.,Determiner: this vs these
She talks solution.,She talks to solution.,Preposition: missing preposition
I run tomorrow.,I am runing tomorrow.,Tense: Present Continuous to Simple
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
She bought the interesting city.,She bought a interesting city.,Article: wrong article
She is the important job.,She is a important job.,Article: wrong article
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
We talk last week.,We will talk last week.,Tense: Future to Present
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
This is more better.,This is better.,Misc: comparative/superlative
I like very much chocolate.,I like chocolate very much.,Misc: word order
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
